id,abn,name,effectiveDateFrom,effectiveDateTo
urn:lobbyists.ag.gov.au:79157510884,79157510884,Catherine McGovern,2019-11-01,
urn:lobbyists.ag.gov.au:34123819385,34123819385,FPL Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:86086302838,86086302838,Marketing Elements Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:58140762689,58140762689,CJC Property Consultants Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:54633570549,54633570549,Chris Drummer,2019-11-01,
urn:lobbyists.ag.gov.au:19927269400,19927269400,CHRIS SCHACHT,2019-11-01,
urn:lobbyists.ag.gov.au:99002989531,99002989531,Electrotech Australia Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,73130740546,CMAX Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,26149964189,Premier State Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,71619450841,PremierNational Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,36617864347,Primary Communication Partners,2019-11-01,
urn:lobbyists.ag.gov.au:25069333400,25069333400,TAYLOR STREET ADVISORY PTY LTD,2019-11-01,
urn:lobbyists.ag.gov.au:72600464855,72600464855,CT International and Corporate Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:41108538772,41108538772,Public Policy Solutions Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:93156511607,93156511607,C2hills Investments Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,81634747363,GC Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:35631919009,35631919009,Counsel House Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:81623654839,81623654839,Coode Holdings Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:24613884763,24613884763,Strategic Political Counsel Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:13099902459,13099902459,Visionary  Enterprising Management Services Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,26149964189,Premier State Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,71619450841,PremierNational Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:39118218625,39118218625,Espresso Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:24165141426,24165141426,Craig Emerson Economics Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:79632066669,79632066669,Operational Legal Australia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:40105759279,40105759279,CRAKYL Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,81634747363,GC Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:62164001969,62164001969,BDaaS Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:86610548171,86610548171,Defence Advisory Services Australasia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:92118248892,92118248892,The Agenda Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:64964952044,64964952044,Govstrat Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,26614088881,Christmas Jalili Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:61007024046,61007024046,Dan Cass,2019-11-01,
urn:lobbyists.ag.gov.au:22535615464,22535615464,"MCDOUGALL,DANIEL JOHN",2019-11-01,
urn:lobbyists.ag.gov.au:66619642858,66619642858,CGM Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:93156511607,93156511607,C2hills Investments Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:99003613134,99003613134,Covance Pty Ltd (Covance Market Access Services division),2019-11-01,
urn:lobbyists.ag.gov.au:56054857698,56054857698,MR DARYL GORDON PILMORE,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,65140067287,Barton Deakin ,2019-11-01,
urn:lobbyists.ag.gov.au:94783827646,94783827646,Vigot & Co,2019-11-01,
urn:lobbyists.ag.gov.au:58101934454,58101934454,Crosby Textor Research Strategies Results Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:34628814728,34628814728,Jeanes Holland and Associates Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:93354249142,93354249142,The Trustee for ECG Advisory Trust,2019-11-01,
urn:lobbyists.ag.gov.au:69005120409,69005120409,Vicom Australia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:58097123012,58097123012,Socom,2019-11-01,
urn:lobbyists.ag.gov.au:73145352147,73145352147,London Agency Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:17165851856,17165851856,Willard Public Affairs Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:27613857668,27613857668,Next Level Strategic Services Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:59344821734,59344821734,Ranicar and Nicholls Consulting,2019-11-01,
urn:lobbyists.ag.gov.au:29634573363,29634573363,National Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:80318383423,80318383423,David Quilty Consulting,2019-11-01,
urn:lobbyists.ag.gov.au:97009584105,97009584105,Bartholomew Quinn and Associates,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:70997483976,70997483976,The Trustee for THE D & W CHRISTISON FAMILY TRUST,2019-11-01,
urn:lobbyists.ag.gov.au:12075550971,12075550971,Five Corners Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:86231566780,86231566780,The Trustee for Bespoke Business Trust,2019-11-01,
urn:lobbyists.ag.gov.au:97081134698,97081134698,Ivydale Nominees Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:40004846100,40004846100,Edelman Public Relations Worldwide Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:81165559339,81165559339,Digby McLeay Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:62621984923,62621984923,Brickfielder Government Engagement,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:79109681405,79109681405,Hawker Britton Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:62141983324,62141983324,ED & Associates Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:69626524178,69626524178,Unravelling Red Tape Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,36617864347,Primary Communication Partners,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,50082123822,GRACosway Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:32105250413,32105250413,The Strategic Counsel,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,56131702755,GRA Partners Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,73130740546,CMAX Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:34123819385,34123819385,FPL Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:83615178571,83615178571,Lunik Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:66619642858,66619642858,CGM Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:86090759032,86090759032,Sefiani Communications Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:92613243057,92613243057,Strategic Partnership Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:67618969332,67618969332,The Shape Agency,2019-11-01,
urn:lobbyists.ag.gov.au:41843147963,41843147963,Aviops Pty Ltd acting as trustee for the McCormack Family Trust,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,87145965466,Sling & Stone,2019-11-01,
urn:lobbyists.ag.gov.au:94064357544,94064357544,CPR Communications & Public Relations Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:30624548429,30624548429,Health Communincations Australia Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:17620658308,17620658308,Castlereagh Advisory ,2019-11-01,
