number,id,CODE,name,province,state,long,lat,dc,type,lastUpdate,sa3,sa3name,sa4,sa4name,region
266,urn:australiapost.com.au:postcode:820_CULLENBAY,820,CULLEN BAY,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
19978,urn:australiapost.com.au:postcode:820_DARWINDC,820,DARWIN DC,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8664593,-12.4255956,Northern Territory Country 1,Delivery Area,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
268,urn:australiapost.com.au:postcode:820_DARWININTERNATIONALAIRPORT,820,DARWIN INTERNATIONAL AIRPORT,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
269,urn:australiapost.com.au:postcode:820_DARWINMC,820,DARWIN MC,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
270,urn:australiapost.com.au:postcode:820_EASTPOINT,820,EAST POINT,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
19979,urn:australiapost.com.au:postcode:820_EATON,820,EATON,urn:iso:std:iso:3166:-2:AU-NT,NT,130.880692,-12.4123871,Northern Territory Country 1,Delivery Area,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
271,urn:australiapost.com.au:postcode:820_FANNIEBAY,820,FANNIE BAY,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
272,urn:australiapost.com.au:postcode:820_LARRAKEYAH,820,LARRAKEYAH,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
273,urn:australiapost.com.au:postcode:820_LUDMILLA,820,LUDMILLA,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
274,urn:australiapost.com.au:postcode:820_PARAP,820,PARAP,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
275,urn:australiapost.com.au:postcode:820_RAAFBASEDARWIN,820,RAAF BASE DARWIN,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
276,urn:australiapost.com.au:postcode:820_STUARTPARK,820,STUART PARK,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
277,urn:australiapost.com.au:postcode:820_THEGARDENS,820,THE GARDENS,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
278,urn:australiapost.com.au:postcode:820_THENARROWS,820,THE NARROWS,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
279,urn:australiapost.com.au:postcode:820_WINNELLIE,820,WINNELLIE,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
280,urn:australiapost.com.au:postcode:820_WOOLNER,820,WOOLNER,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
281,urn:australiapost.com.au:postcode:821_WINNELLIE,821,WINNELLIE,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-03-25,70205,Katherine,702,Northern Territory - Outback,R1
282,urn:australiapost.com.au:postcode:822_ACACIAHILLS,822,ACACIA HILLS,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19980,urn:australiapost.com.au:postcode:822_ANGURUGU,822,ANGURUGU,urn:iso:std:iso:3166:-2:AU-NT,NT,136.4612078,-13.98119125,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19981,urn:australiapost.com.au:postcode:822_ANINDILYAKWA,822,ANINDILYAKWA,urn:iso:std:iso:3166:-2:AU-NT,NT,136.5909616,-13.91698485,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19982,urn:australiapost.com.au:postcode:822_ANNIERIVER,822,ANNIE RIVER,urn:iso:std:iso:3166:-2:AU-NT,NT,133.3848319,-12.9305044,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19983,urn:australiapost.com.au:postcode:822_BATHURSTISLAND,822,BATHURST ISLAND,urn:iso:std:iso:3166:-2:AU-NT,NT,130.3496894,-11.6035121,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
286,urn:australiapost.com.au:postcode:822_BEESCREEK,822,BEES CREEK,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19984,urn:australiapost.com.au:postcode:822_BELYUEN,822,BELYUEN,urn:iso:std:iso:3166:-2:AU-NT,NT,130.6831805,-12.53818467,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19985,urn:australiapost.com.au:postcode:822_BLACKJUNGLE,822,BLACK JUNGLE,urn:iso:std:iso:3166:-2:AU-NT,NT,131.1942977,-12.50224007,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19986,urn:australiapost.com.au:postcode:822_BLACKMORE,822,BLACKMORE,urn:iso:std:iso:3166:-2:AU-NT,NT,130.9175773,-12.68983104,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
287,urn:australiapost.com.au:postcode:822_BORDERSTORE,822,BORDER STORE,urn:iso:std:iso:3166:-2:AU-NT,NT,136.947051,-13.643283,,,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19987,urn:australiapost.com.au:postcode:822_BURRUNDIE,822,BURRUNDIE,urn:iso:std:iso:3166:-2:AU-NT,NT,131.8449886,-13.50171859,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
19988,urn:australiapost.com.au:postcode:822_BYNOE,822,BYNOE,urn:iso:std:iso:3166:-2:AU-NT,NT,130.6320309,-12.79290292,Northern Territory Country 1,Delivery Area,2020-02-06,70205,Katherine,702,Northern Territory - Outback,R1
