lobbyist_id,relation,client_id,effectiveFromDate,effectiveToDate
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:52127916009,2019-11-01,
urn:lobbyists.ag.gov.au:22535615464,represents,urn:abr.business.gov.au:57087651385,2019-11-01,
urn:lobbyists.ag.gov.au:83615178571,represents,urn:abr.business.gov.au:32514766352,2019-11-01,
urn:lobbyists.ag.gov.au:83586804536,represents,urn:abr.business.gov.au:84068618931,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:92003435345,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:59133632130,2019-11-01,
urn:lobbyists.ag.gov.au:78605668344,represents,urn:abr.business.gov.au:16010089175,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:65003371239,2019-11-01,
urn:lobbyists.ag.gov.au:20018352673,represents,urn:abr.business.gov.au:8662131268,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:97003872848,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:97003872848,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:97003872848,2019-11-01,
urn:lobbyists.ag.gov.au:81623654839,represents,urn:abr.business.gov.au:60617211935,2019-11-01,
urn:lobbyists.ag.gov.au:33425786517,represents,urn:abr.business.gov.au:64102943304,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:33091717850,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:608301956,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:608301956,2019-11-01,
urn:lobbyists.ag.gov.au:86610548171,represents,urn:abr.business.gov.au:18008476944,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,represents,urn:abr.business.gov.au:66103014571,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:38125401247,2019-11-01,
urn:lobbyists.ag.gov.au:57393406800,represents,urn:abr.business.gov.au:40004846100,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:96138299288,2019-11-01,
