internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,PMV,Premier Investments Ltd,,,,,,$3.48 B,,
,,CNU,Chorus Ltd,,,,,,$3.48 B,,
,,YAL,Yancoal Australia Ltd,,,,,,$3.24 B,,
-,,MLT,Milton Corporation Ltd,,,,,,$3.21 B,,
,,DHG,Domain Holdings Australia Ltd,,,,,,$3.08 B,,
,,VOC,Vocus Group Ltd,,,,,,$3.07 B,,
,,ARB,ARB Corporation Ltd,,,,,,$3.05 B,,
,,NIC,Nickel Mines Ltd,,,,,,$3.01 B,,
,,PBH,Pointsbet Holdings Ltd,,,,,,$3 B,,
,,BKW,Brickworks Ltd,,,,,,$2.97 B,,
,,ILU,Iluka Resources Ltd,,,,,,$2.97 B,,
,,VEA,Viva Energy Group Ltd,,,,,,$2.85 B,,
,,APX,Appen Ltd,,,,,,$2.82 B,,
,,FLT,Flight Centre Travel Group Ltd,,,,,,$2.82 B,,
,,NXL,NUIX Ltd,,,,,,$2.8 B,,
,,PLS,Pilbara Minerals Ltd,,,,,,$2.8 B,,
,,VGS,Vanguard MSCI INDEX International Shares ETF,,,,,,$2.78 B,,
-,,SNZ,Summerset Group Holdings Ltd,,,,,,$2.78 B,,
,,CLW,Charter Hall Long Wale REIT,,,,,,$2.75 B,,
-,,TNE,Technology One Ltd,,,,,,$2.73 B,,
,,BAP,Bapcor Ltd,,,,,,$2.68 B,,
,,CSR,CSR Ltd,,,,,,$2.66 B,,
,,CIA,Champion Iron Ltd,,,,,,$2.65 B,,
,,SCP,Shopping Centres Australasia Property Group,,,,,,$2.6 B,,
,,ORA,Orora Ltd,,,,,,$2.59 B,,
,,VUK,Virgin Money Uk Plc,,,,,,$2.58 B,,
,,LNK,Link Administration Holdings Ltd,,,,,,$2.55 B,,
,,PTM,Platinum Asset Management Ltd,,,,,,$2.53 B,,
,,SGM,Sims Ltd,,,,,,$2.53 B,,
,,SUL,Super Retail Group Ltd,,,,,,$2.53 B,,
-,,BWP,BWP Trust,,,,,,$2.52 B,,
,,HLS,Healius Ltd,,,,,,$2.52 B,,
,,NHF,Nib Holdings Ltd,,,,,,$2.5 B,,
-,,LFG,Liberty Financial Group,,,,,,$2.49 B,,
-,,GOZ,Growthpoint Properties Australia,,,,,,$2.46 B,,
,,CTD,Corporate Travel Management Ltd,,,,,,$2.39 B,,
,,DRR,Deterra Royalties Ltd,,,,,,$2.38 B,,
,,TLT,Tilt Renewables Ltd,,,,,,$2.32 B,,
,,VTS,Vanguard US Total Market Shares INDEX ETF,,,,,,$2.22 B,,
,,CDA,Codan Ltd,,,,,,$2.21 B,,
,,AAA,Betashares Australian High Interest Cash ETF,,,,,,$2.2 B,,
,,MP1,Megaport Ltd,,,,,,$2.17 B,,
,,CMW,Cromwell Property Group,,,,,,$2.16 B,,
,,MGF,Magellan Global Fund,,,,,,$2.14 B,,
,,ABP,Abacus Property Group,,,,,,$2.14 B,,
,,IFL,IOOF Holdings Ltd,,,,,,$2.14 B,,
,,CCP,Credit Corp Group Ltd,,,,,,$2.1 B,,
-,,SKC,Skycity Entertainment Group Ltd,,,,,,$2.1 B,,
