internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
-,,BDC,Bardoc Gold Ltd,,,,,,$138.81 M,,
,,AZS,AZURE Minerals Ltd,,,,,,$138.64 M,,
-,,APZ,Aspen Group,,,,,,$138.48 M,,
-,,CII,Ci Resources Ltd,,,,,,$137.54 M,,
,,BD1,BARD1 Life Sciences Ltd,,,,,,$137.29 M,,
-,,CRW,Cashrewards Ltd,,,,,,$136.75 M,,
,,HVST,Betashares Australian Dividend Harvester Fund (Managed Fund),,,,,,$136.61 M,,
-,,BSA,BSA Ltd,,,,,,$136.49 M,,
-,,CDD,Cardno Ltd,,,,,,$136.44 M,,
,,BOT,Botanix Pharmaceuticals Ltd,,,,,,$136.24 M,,
-,,GMD,Genesis Minerals Ltd,,,,,,$136.01 M,,
,,SUBD,Vaneck Vectors Australian Subordinated Debt ETF,,,,,,$135.83 M,,
-,,RDG,Resource Development Group Ltd,,,,,,$134.89 M,,
-,,CUP,Countplus Ltd,,,,,,$134.78 M,,
-,,PEN,Peninsula Energy Ltd,,,,,,$134 M,,
-,,EXR,Elixir Energy Ltd,,,,,,$133.65 M,,
-,,YFZ,Youfoodz Holdings Ltd,,,,,,$133.09 M,,
-,,MYL,Myanmar Metals Ltd,,,,,,$133.08 M,,
,,MDR,Medadvisor Ltd,,,,,,$133.01 M,,
,,RDF,Redflex Holdings Ltd,,,,,,$132.99 M,,
-,,DUR,Duratec Ltd,,,,,,$132.97 M,,
,,ITG,Intega Group Ltd,,,,,,$132.97 M,,
,,ETPMAG,ETFs Metal Securities Australia Ltd,,,,,,$131.66 M,,
,,SWF,Selfwealth Ltd,,,,,,$131.43 M,,
-,,RTG,RTG Mining Inc,,,,,,$131.06 M,,
,,PVS,Pivotal Systems Corporation,,,,,,$130.46 M,,
,,LIT,Lithium Australia NL,,,,,,$129.32 M,,
,,RBTZ,Betashares Global Robotics and Artificial Intelligence ETF,,,,,,$129.28 M,,
,,ANP,Antisense Therapeutics Ltd,,,,,,$129.16 M,,
,,RZI,RAIZ Invest Ltd,,,,,,$128.92 M,,
,,MVB,Vaneck Vectors Australian Banks ETF,,,,,,$128.31 M,,
,,AMX,Aerometrex Ltd,,,,,,$127.44 M,,
-,,IKE,Ikegps Group Ltd,,,,,,$127.04 M,,
,,IXR,Ionic Rare EARTHS Ltd,,,,,,$126.49 M,,
,,QLTY,Betashares Global Quality Leaders ETF,,,,,,$126.01 M,,
,,VR1,Vection Technologies Ltd,,,,,,$125.56 M,,
,,TNK,Think Childcare Group,,,,,,$125.17 M,,
,,VLC,Vanguard MSCI Australian Large Companies INDEX ETF,,,,,,$124.28 M,,
,,EMN,Euro Manganese Inc,,,,,,$123.77 M,,
,,WXHG,SPDR S&P World Ex Australia (Hedged) Fund,,,,,,$123.2 M,,
,,GCY,Gascoyne Resources Ltd,,,,,,$122.92 M,,
,,SEC,Spheria Emerging Companies Ltd,,,,,,$122.77 M,,
,,GLN,Galan Lithium Ltd,,,,,,$122.26 M,,
-,,WHA,Wattle Health Australia Ltd,,,,,,$122.24 M,,
,,RVR,Red River Resources Ltd,,,,,,$121.68 M,,
,,TOT,360 Capital REIT,,,,,,$121.45 M,,
,,ACDC,ETFs Battery Tech & Lithium ETF,,,,,,$121.33 M,,
,,TNG,TNG Ltd,,,,,,$121.2 M,,
,,NTD,National Tyre & Wheel Ltd,,,,,,$120.49 M,,
,,ZEO,Zeotech Ltd,,,,,,$120.38 M,,
,,DNK,Danakali Ltd,,,,,,$119.53 M,,
,,BBX,BBX Minerals Ltd,,,,,,$119.37 M,,
,,LPD,Lepidico Ltd,,,,,,$119.32 M,,
,,MCA,Murray Cod Australia Ltd,,,,,,$118.66 M,,
,,GTN,GTN Ltd,,,,,,$118.4 M,,
,,ISO,Ishares S&P/ASX Small Ordinaries ETF,,,,,,$118.13 M,,
,,IHR,Intellihr Ltd,,,,,,$118.02 M,,
-,,JAN,Janison Education Group Ltd,,,,,,$117.97 M,,
,,EPD,Empired Ltd,,,,,,$117.82 M,,
-,,AGD,Austral Gold Ltd,,,,,,$117.3 M,,
,,BRI,Big River Industries Ltd,,,,,,$116.92 M,,
,,MSTR,Morningstar International Shares Active ETF (Managed Fund),,,,,,$116.61 M,,
,,IVR,Investigator Resources Ltd,,,,,,$116.51 M,,
,,MVR,Vaneck Vectors Australian Resources ETF,,,,,,$116.43 M,,
-,,AT1,Atomo Diagnostics Ltd,,,,,,$116.25 M,,
,,8VI,8VI Holdings Ltd,,,,,,$115.85 M,,
,,DSE,Dropsuite Ltd,,,,,,$115.83 M,,
,,5GG,Pentanet Ltd,,,,,,$115.73 M,,
-,,EER,East Energy Resources Ltd,,,,,,$115.24 M,,
,,TGF,Tribeca Global Natural Resources Ltd,,,,,,$115.01 M,,
,,BCN,Beacon Minerals Ltd,,,,,,$114.93 M,,
,,VBLD,Vanguard Global Infrastructure INDEX ETF,,,,,,$114.73 M,,
,,IXI,Ishares Global Consumer Staples ETF,,,,,,$114.51 M,,
,,NET,Netlinkz Ltd,,,,,,$114.45 M,,
,,GDG,Generation Development Group Ltd,,,,,,$114.33 M,,
-,,CLU,Cluey Ltd,,,,,,$114.22 M,,
,,NSC,Naos Small Cap Opportunities Company Ltd,,,,,,$114.08 M,,
,,WVOL,Ishares Edge MSCI World Minimum Volatility ETF,,,,,,$113.6 M,,
,,RNT,Rent.com.Au Ltd,,,,,,$113.33 M,,
-,,RCT,Reef Casino Trust,,,,,,$112.84 M,,
,,SGH,Slater & Gordon Ltd,,,,,,$112.67 M,,
,,IHOO,Ishares Global 100 Aud Hedged ETF,,,,,,$111.93 M,,
,,EEG,Empire Energy Group Ltd,,,,,,$111.76 M,,
,,AND,Ansarada Group Ltd,,,,,,$111.68 M,,
,,MRM,Mma Offshore Ltd,,,,,,$111.39 M,,
-,,FEX,FENIX Resources Ltd,,,,,,$111.16 M,,
,,CRO,Cirralto Ltd,,,,,,$111.13 M,,
-,,AMN,Agrimin Ltd,,,,,,$110.82 M,,
,,IGB,Ishares Treasury ETF,,,,,,$110.71 M,,
,,LOT,Lotus Resources Ltd,,,,,,$110.67 M,,
,,BKT,Black Rock Mining Ltd,,,,,,$110.62 M,,
,,SDV,Scidev Ltd,,,,,,$110.32 M,,
-,,HCH,Hot Chili Ltd,,,,,,$110.12 M,,
,,OZF,SPDR S&P/ASX 200 Financials Ex A-REIT Fund,,,,,,$110.05 M,,
,,TSO,Tesoro Resources Ltd,,,,,,$109.9 M,,
,,SNS,Sensen Networks Ltd,,,,,,$109.85 M,,
,,STA,Strandline Resources Ltd,,,,,,$109.81 M,,
-,,FAR,FAR Ltd,,,,,,$109.77 M,,
-,,NTM,NTM Gold Ltd,,,,,,$109.7 M,,
-,,GBND,Betashares Sustainability Leaders DVRSFD Bond ETF - Cur HDG,,,,,,$109.61 M,,
,,TOP,Thorney Opportunities Ltd,,,,,,$109.52 M,,
-,,TER,Terracom Ltd,,,,,,$109.27 M,,
,,ACQ,Acorn Capital Investment Fund Ltd,,,,,,$108.96 M,,
,,TDI,360 Capital Digital Infrastructure Fund,,,,,,$108.93 M,,
,,RCW,Rightcrowd Ltd,,,,,,$108.86 M,,
,,AEG,Absolute Equity Performance Fund Ltd,,,,,,$108.67 M,,
-,,WAT,Waterco Ltd,,,,,,$108.46 M,,
,,EGH,Eureka Group Holdings Ltd,,,,,,$108.12 M,,
,,ARV,Artemis Resources Ltd,,,,,,$107.99 M,,
,,BLU,Blue Energy Ltd,,,,,,$107.64 M,,
,,FBR,FBR Ltd,,,,,,$106.78 M,,
,,RYD,Ryder Capital Ltd,,,,,,$105.94 M,,
,,OCC,Orthocell Ltd,,,,,,$105.7 M,,
,,RND,Rand Mining Ltd,,,,,,$105.26 M,,
,,APC,Australian Potash Ltd,,,,,,$104.69 M,,
-,,CAM,Clime Capital Ltd,,,,,,$104.53 M,,
-,,TIG,Tigers Realm Coal Ltd,,,,,,$104.43 M,,
,,VML,Vital Metals Ltd,,,,,,$104.31 M,,
,,ZYAU,ETFs S&P/ASX 300 High Yield Plus ETF,,,,,,$103.57 M,,
-,,LAU,Lindsay Australia Ltd,,,,,,$103.34 M,,
,,HZN,Horizon Oil Ltd,,,,,,$102.86 M,,
,,EXP,Experience Co Ltd,,,,,,$102.83 M,,
,,VEE,Veem Ltd,,,,,,$102.7 M,,
,,CYP,Cynata Therapeutics Ltd,,,,,,$102.44 M,,
,,GAS,State GAS Ltd,,,,,,$102.09 M,,
,,MOZ,Mosaic Brands Ltd,,,,,,$101.5 M,,
,,DUG,DUG Technology Ltd,,,,,,$101.46 M,,
,,LCK,Leigh Creek Energy Ltd,,,,,,$101.2 M,,
-,,SELF,Selfwealth SMSF Leaders ETF,,,,,,$100.96 M,,
,,GOW,Gowing Bros Ltd,,,,,,$100.85 M,,
,,LRK,Lark Distilling Co. Ltd,,,,,,$100.25 M,,
,,ZBT,ZEBIT Inc,,,,,,$99.64 M,,
,,AGVT,Betashares Australian Government Bond ETF,,,,,,$99.59 M,,
,,ZLD,Zelira Therapeutics Ltd,,,,,,$99.57 M,,
-,,TWD,Tamawood Ltd,,,,,,$99.32 M,,
,,OZR,SPDR S&P/ASX 200 Resources Fund,,,,,,$98.97 M,,
,,AOP,Apollo Consolidated Ltd,,,,,,$98.71 M,,
,,NNT,99 Technology Ltd,,,,,,$98.57 M,,
,,CCR,Credit Clear Ltd,,,,,,$98.19 M,,
-,,KIN,KIN Mining NL,,,,,,$98.06 M,,
,,QFE,Quickfee Ltd,,,,,,$97.75 M,,
-,,CTP,Central Petroleum Ltd,,,,,,$97.66 M,,
,,EX1,Exopharm Ltd,,,,,,$97.59 M,,
,,TAM,Tanami Gold NL,,,,,,$97.53 M,,
,,RSH,Respiri Ltd,,,,,,$97.52 M,,
,,RKN,Reckon Ltd,,,,,,$97.43 M,,
,,KPG,Kelly Partners Group Holdings Ltd,,,,,,$97.32 M,,
-,,FUN,Funtastic Ltd,,,,,,$97.29 M,,
,,GDA,Good Drinks Australia Ltd,,,,,,$97.12 M,,
-,,CAA,Capral Ltd,,,,,,$96.89 M,,
,,STG,Straker Translations Ltd,,,,,,$96.19 M,,
,,88E,88 Energy Ltd,,,,,,$95.95 M,,
,,OKU,Oklo Resources Ltd,,,,,,$95.77 M,,
-,,ANG,Austin Engineering Ltd,,,,,,$95.68 M,,
,,UMAX,Betashares S&P 500 Yield Maximiser Fund (Managed Fund),,,,,,$95.33 M,,
,,AUZ,Australian Mines Ltd,,,,,,$95.07 M,,
,,AZY,Antipa Minerals Ltd,,,,,,$94.85 M,,
,,BRV,Big River Gold Ltd,,,,,,$94.75 M,,
,,PGX,Primero Group Ltd,,,,,,$93.6 M,,
,,GWR,GWR Group Ltd,,,,,,$93.53 M,,
,,RXP,RXP Services Ltd,,,,,,$93.48 M,,
,,CSS,Clean Seas Seafood Ltd,,,,,,$93.23 M,,
,,HETH,Betashares Global Sustainability Leaders ETF - CH,,,,,,$93.17 M,,
,,MMI,Metro Mining Ltd,,,,,,$93.14 M,,
-,,TZN,Terramin Australia Ltd,,,,,,$93.13 M,,
,,WEC,White Energy Company Ltd,,,,,,$92.94 M,,
-,,LPI,Lithium Power International Ltd,,,,,,$92.91 M,,
,,KSS,Kleos Space S.A,,,,,,$92.57 M,,
,,MDC,Medlab Clinical Ltd,,,,,,$92.29 M,,
,,PEX,Peel Mining Ltd,,,,,,$92.24 M,,
-,,SDI,SDI Ltd,,,,,,$91.53 M,,
-,,IOD,Iodm Ltd,,,,,,$91.39 M,,
,,SNC,Sandon Capital Investments Ltd,,,,,,$91.25 M,,
-,,PGC,Paragon Care Ltd,,,,,,$91.23 M,,
,,TTT,Titomic Ltd,,,,,,$91.18 M,,
-,,DRUG,Betashares Global Healthcare ETF - Currency Hedged,,,,,,$91.01 M,,
,,MSV,Mitchell Services Ltd,,,,,,$90.65 M,,
,,WWI,West Wits Mining Ltd,,,,,,$90.42 M,,
-,,DTZ,DOTZ Nano Ltd,,,,,,$90.33 M,,
,,PIQ,Proteomics International Laboratories Ltd,,,,,,$90.22 M,,
-,,CHZ,Chesser Resources Ltd,,,,,,$90.17 M,,
-,,GTG,Genetic Technologies Ltd,,,,,,$90.14 M,,
,,CYG,Coventry Group Ltd,,,,,,$90.01 M,,
,,DOU,Douugh Ltd,,,,,,$89.85 M,,
,,SHM,Shriro Holdings Ltd,,,,,,$89.38 M,,
,,EDE,Eden Innovations Ltd,,,,,,$89.34 M,,
,,FCT,Firstwave Cloud Technology Ltd,,,,,,$89.27 M,,
,,EPY,Earlypay Ltd,,,,,,$89.12 M,,
,,OSL,Oncosil Medical Ltd,,,,,,$88.81 M,,
,,TSI,Top Shelf International Holdings Ltd,,,,,,$88.65 M,,
,,ARA,Ariadne Australia Ltd,,,,,,$88.31 M,,
,,GAP,Gale Pacific Ltd,,,,,,$88.13 M,,
,,ATH,Alterity Therapeutics Ltd,,,,,,$87.53 M,,
,,GPR,Geopacific Resources Ltd,,,,,,$87.52 M,,
,,MEM,Memphasys Ltd,,,,,,$87.37 M,,
,,TGH,Terragen Holdings Ltd,,,,,,$87.28 M,,
,,NML,Navarre Minerals Ltd,,,,,,$87.22 M,,
,,MEA,Mcgrath Ltd,,,,,,$86.76 M,,
,,MEI,Meteoric Resources NL,,,,,,$86.76 M,,
,,MYE,Mastermyne Group Ltd,,,,,,$86.48 M,,
,,BPH,BPH Energy Ltd,,,,,,$86.32 M,,
,,MOGL,Montgomery Global Equities Fund (Managed Fund),,,,,,$85.92 M,,
,,MIO,Macarthur Minerals Ltd,,,,,,$85.72 M,,
,,LVH,Livehire Ltd,,,,,,$85.33 M,,
-,,KKO,Kinetiko Energy Ltd,,,,,,$85.28 M,,
,,MVS,Vaneck Vectors Small Companies Masters ETF,,,,,,$85 M,,
,,RGB,Russell Investments Australian Government Bond ETF,,,,,,$84.96 M,,
,,IXU,Ixup Ltd,,,,,,$84.03 M,,
,,WCG,Webcentral Group Ltd,,,,,,$83.9 M,,
,,PTB,PTB Group Ltd,,,,,,$83.76 M,,
-,,ZER,ZETA Resources Ltd,,,,,,$83.42 M,,
,,VISM,Vanguard MSCI International Small Companies INDEX ETF,,,,,,$83.37 M,,
,,CMP,Compumedics Ltd,,,,,,$83.27 M,,
,,COB,Cobalt Blue Holdings Ltd,,,,,,$83.15 M,,
,,ASN,Anson Resources Ltd,,,,,,$83.13 M,,
,,COS,Cosol Ltd,,,,,,$83.02 M,,
,,GRNV,Vaneck Vectors MSCI Australian Sustainable Equity ETF,,,,,,$82.6 M,,
,,3DA,Amaero International Ltd,,,,,,$82.55 M,,
-,,CSD,Consolidated Tin Mines Ltd,,,,,,$82.48 M,,
-,,TIP,Teaminvest Private Group Ltd,,,,,,$82.47 M,,
-,,AOU,Auroch Minerals Ltd,,,,,,$81.97 M,,
-,,SWTZ,Switzer Dividend Growth Fund (Managed Fund),,,,,,$81.9 M,,
,,KIS,King Island Scheelite Ltd,,,,,,$81.72 M,,
,,UBI,Universal Biosensors Inc,,,,,,$81.66 M,,
,,ESK,Etherstack Plc,,,,,,$80.99 M,,
,,ESPO,Vaneck Vectors Video Gaming and Esports ETF,,,,,,$80.64 M,,
,,PRT,Prime Media Group Ltd,,,,,,$80.59 M,,
,,BC8,Black Cat Syndicate Ltd,,,,,,$80.56 M,,
-,,ACF,Acrow Formwork and Construction Services Ltd,,,,,,$80.47 M,,
,,INF,Infinity Lithium Corporation Ltd,,,,,,$79.97 M,,
-,,RXL,ROX Resources Ltd,,,,,,$79.94 M,,
,,IHHY,Ishares Global High Yield Bond (Aud Hedged) ETF,,,,,,$79.81 M,,
,,OZG,Ozgrowth Ltd,,,,,,$78.94 M,,
,,MBH,Maggie Beer Holdings Ltd,,,,,,$78.9 M,,
,,PCK,Painchek Ltd,,,,,,$78.88 M,,
,,RHT,Resonance Health Ltd,,,,,,$78.51 M,,
,,NGY,Nuenergy Gas Ltd,,,,,,$78.49 M,,
-,,AML,Aeon Metals Ltd,,,,,,$77.92 M,,
,,OIL,Optiscan Imaging Ltd,,,,,,$77.58 M,,
,,AHQ,Allegiance Coal Ltd,,,,,,$77.55 M,,
,,REIT,Vaneck Vectors Ftse International Property (Hedged) ETF,,,,,,$77.46 M,,
,,ATC,Altech Chemicals Ltd,,,,,,$77.19 M,,
,,MGT,Magnetite Mines Ltd,,,,,,$77.12 M,,
,,FHS,Freehill Mining Ltd,,,,,,$77.09 M,,
,,URF,US Masters Residential Property Fund,,,,,,$77.04 M,,
,,EXL,Elixinol Global Ltd,,,,,,$76.89 M,,
,,KME,Kip Mcgrath Education Centres Ltd,,,,,,$76.73 M,,
,,DCG,Decmil Group Ltd,,,,,,$76.6 M,,
,,AAR,Anglo Australian Resources NL,,,,,,$76.57 M,,
,,LRS,Latin Resources Ltd,,,,,,$76.43 M,,
,,SIO,Simonds Group Ltd,,,,,,$76.24 M,,
-,,HIT,Hitech Group Australia Ltd,,,,,,$76.05 M,,
,,ICT,Icollege Ltd,,,,,,$75.6 M,,
,,AUC,Ausgold Ltd,,,,,,$75.42 M,,
,,CIE,Contango Income Generator Ltd,,,,,,$75.32 M,,
,,BRL,Bathurst Resources Ltd,,,,,,$75.22 M,,
,,WOA,Wide Open Agriculture Ltd,,,,,,$75.08 M,,
,,MEP,Minotaur Exploration Ltd,,,,,,$74.91 M,,
,,NZO,New Zealand Oil & Gas Ltd,,,,,,$74.82 M,,
,,QRE,Betashares Australian Resources Sector ETF,,,,,,$74.78 M,,
,,VMY,Vimy Resources Ltd,,,,,,$74.75 M,,
,,BEAR,Betashares Australian Equities Bear (Hedge Fund),,,,,,$74.63 M,,
-,,DRX,Diatreme Resources Ltd,,,,,,$74.62 M,,
,,MWY,Midway Ltd,,,,,,$73.8 M,,
-,,MVOL,Ishares Edge MSCI Australia Minimum Volatility ETF,,,,,,$73.62 M,,
-,,WHK,Whitehawk Ltd,,,,,,$73.53 M,,
,,RXM,REX Minerals Ltd,,,,,,$73.37 M,,
-,,AVL,Australian Vanadium Ltd,,,,,,$73.25 M,,
,,AHX,Apiam Animal Health Ltd,,,,,,$73.14 M,,
-,,PKS,PKS Holdings Ltd,,,,,,$73.13 M,,
,,HNDQ,Betashares Nasdaq 100 ETF - Currency Hedged,,,,,,$73.03 M,,
-,,DNA,Donaco International Ltd,,,,,,$72.89 M,,
-,,LCL,Los Cerros Ltd,,,,,,$72.86 M,,
-,,CVL,Civmec Ltd,,,,,,$72.74 M,,
-,,MAM,Microequities Asset Management Group Ltd,,,,,,$72.64 M,,
-,,VMS,Venture Minerals Ltd,,,,,,$72.47 M,,
,,CWZ,Cashwerkz Ltd,,,,,,$72.45 M,,
-,,NUH,Nuheara Ltd,,,,,,$72.36 M,,
,,ARL,Ardea Resources Ltd,,,,,,$72.13 M,,
,,CKA,Cokal Ltd,,,,,,$72.12 M,,
,,CD3,CD Private Equity Fund Iii,,,,,,$72.03 M,,
-,,DW8,Digital Wine Ventures Ltd,,,,,,$71.59 M,,
-,,AV1,Adveritas Ltd,,,,,,$71.38 M,,
,,QUS,Betashares S&P 500 EQUAL Weight ETF,,,,,,$71.04 M,,
,,AEI,Aeris Environmental Ltd,,,,,,$70.71 M,,
,,CLF,Concentrated Leaders Fund Ltd,,,,,,$70.65 M,,
,,LGP,Little Green Pharma Ltd,,,,,,$70.62 M,,
-,,PTX,Prescient Therapeutics Ltd,,,,,,$70.46 M,,
-,,MPP,Metro Performance Glass Ltd,,,,,,$70.44 M,,
,,BBC,BNK Banking Corporation Ltd,,,,,,$70.19 M,,
-,,DRO,Droneshield Ltd,,,,,,$70.18 M,,
,,SND,Saunders International Ltd,,,,,,$69.94 M,,
,,RSM,Russell Investments Australian Semi-Government Bond ETF,,,,,,$69.82 M,,
,,RCL,Readcloud Ltd,,,,,,$69.81 M,,
,,ADA,Adacel Technologies Ltd,,,,,,$69.43 M,,
-,,HWK,Hawkstone Mining Ltd,,,,,,$69.39 M,,
,,CDX,Cardiex Ltd,,,,,,$69.33 M,,
,,DEV,DEVEX Resources Ltd,,,,,,$69.25 M,,
,,UBN,Urbanise.com Ltd,,,,,,$69.19 M,,
-,,ASH,Ashley Services Group Ltd,,,,,,$69.11 M,,
,,IKO,Ishares MSCI South Korea ETF,,,,,,$69.01 M,,
,,PAL,Palla Pharma Ltd,,,,,,$68.64 M,,
,,BML,Boab Metals Ltd,,,,,,$68.51 M,,
,,BRB,Breaker Resources NL,,,,,,$68.43 M,,
,,IME,Imexhs Ltd,,,,,,$68.31 M,,
,,VAN,Vango Mining Ltd,,,,,,$68.2 M,,
,,HRZ,Horizon Minerals Ltd,,,,,,$68.16 M,,
,,ZYUS,ETFs S&P 500 High Yield Low Volatility ETF,,,,,,$68.1 M,,
,,KSN,Kingston Resources Ltd,,,,,,$68.05 M,,
-,,AR9,Archtis Ltd,,,,,,$68 M,,
,,BLY,Boart Longyear Ltd,,,,,,$67.71 M,,
,,CAY,Canyon Resources Ltd,,,,,,$67.53 M,,
,,TNY,Tinybeans Group Ltd,,,,,,$67.28 M,,
,,JRL,Jindalee Resources Ltd,,,,,,$67.21 M,,
,,TI1,Tombador Iron Ltd,,,,,,$67.04 M,,
,,HRL,HRL Holdings Ltd,,,,,,$66.66 M,,
,,SOV,Sovereign Cloud Holdings Ltd,,,,,,$66.66 M,,
,,RNU,Renascor Resources Ltd,,,,,,$66.63 M,,
,,NWC,New World Resources Ltd,,,,,,$66.32 M,,
,,ESR,Estrella Resources Ltd,,,,,,$66.29 M,,
,,PDI,Predictive Discovery Ltd,,,,,,$66.11 M,,
,,RFX,Redflow Ltd,,,,,,$66.04 M,,
,,SEN,Senetas Corporation Ltd,,,,,,$66.01 M,,
-,,TON,Triton Minerals Ltd,,,,,,$65.8 M,,
,,XPL,Xplore Wealth Ltd,,,,,,$65.47 M,,
,,8IH,8I Holdings Ltd,,,,,,$65.12 M,,
,,FML,Focus Minerals Ltd,,,,,,$64.88 M,,
,,ICI,Icandy Interactive Ltd,,,,,,$64.76 M,,
-,,NCC,Naos Emerging Opportunities Company Ltd,,,,,,$64.59 M,,
-,,TGA,Thorn Group Ltd,,,,,,$64.45 M,,
-,,TRY,Troy Resources Ltd,,,,,,$64.39 M,,
,,CD2,CD Private Equity Fund Ii,,,,,,$64.3 M,,
,,SUV,Suvo Strategic Minerals Ltd,,,,,,$64.21 M,,
,,SKF,SKYFII Ltd,,,,,,$63.92 M,,
,,RTR,Rumble Resources Ltd,,,,,,$63.86 M,,
,,HMX,Hammer Metals Ltd,,,,,,$63.76 M,,
,,SEQ,Sequoia Financial Group Ltd,,,,,,$63.71 M,,
,,E2M,E2 Metals Ltd,,,,,,$63.6 M,,
,,KZR,Kalamazoo Resources Ltd,,,,,,$63.51 M,,
,,GGUS,Betashares Geared US Equity Fund Currency Hedged (Hedgefund),,,,,,$63.48 M,,
-,,ATL,Apollo Tourism & Leisure Ltd,,,,,,$63.29 M,,
,,EUR,European Lithium Ltd,,,,,,$62.96 M,,
,,RTE,"Retech Technology Co., Ltd",,,,,,$62.89 M,,
-,,HAV,Havilah Resources Ltd,,,,,,$62.79 M,,
,,BRU,Buru Energy Ltd,,,,,,$62.65 M,,
-,,FSI,Flagship Investments Ltd,,,,,,$62.53 M,,
,,TAO,TAO Commodities Ltd,,,,,,$62.44 M,,
,,LSX,Lion Selection Group Ltd,,,,,,$62.31 M,,
,,OEC,Orbital Corporation Ltd,,,,,,$62.13 M,,
,,MNRS,Betashares Global Gold Miners ETF - Currency Hedged,,,,,,$61.97 M,,
,,NUS,Nusantara Resources Ltd,,,,,,$61.9 M,,
-,,MZZ,Matador Mining Ltd,,,,,,$61.5 M,,
,,BAT,Battery Minerals Ltd,,,,,,$61.24 M,,
-,,AKL,Auckland Real Estate Trust,,,,,,$61.06 M,,
,,ISU,Iselect Ltd,,,,,,$61 M,,
-,,IBC,Ironbark Capital Ltd,,,,,,$60.97 M,,
,,GML,Gateway Mining Ltd,,,,,,$60.92 M,,
-,,IVX,Invion Ltd,,,,,,$60.92 M,,
-,,PDZ,Prairie Mining Ltd,,,,,,$60.51 M,,
-,,WRLD,Betashares Managed Risk Global Share Fund (Managed Fund),,,,,,$60.42 M,,
-,,LBL,Laserbond Ltd,,,,,,$60.31 M,,
-,,QHL,Quickstep Holdings Ltd,,,,,,$60.17 M,,
,,LNU,Linius Technologies Ltd,,,,,,$60.17 M,,
-,,MA1,Monash Absolute Investment Company Ltd,,,,,,$60.11 M,,
-,,QTM,Quantum Health Group Ltd,,,,,,$59.8 M,,
,,KTG,K-Tig Ltd,,,,,,$59.76 M,,
,,ESGI,Vaneck Vectors MSCI International Sustainable Equity ETF,,,,,,$59.71 M,,
-,,KPO,Kalina Power Ltd,,,,,,$59.47 M,,
,,ADS,Adslot Ltd,,,,,,$59.46 M,,
,,BLG,Bluglass Ltd,,,,,,$59.25 M,,
-,,FFI,FFI Holdings Ltd,,,,,,$59.18 M,,
,,NOV,Novatti Group Ltd,,,,,,$59.06 M,,
,,VVLU,Vanguard Global Value Equity Active ETF (Managed Fund),,,,,,$58.83 M,,
-,,TDL,TBG Diagnostics Ltd,,,,,,$58.75 M,,
,,ARD,Argent Minerals Ltd,,,,,,$58.71 M,,
,,FTC,Fintech Chain Ltd,,,,,,$58.57 M,,
,,LER,Leaf Resources Ltd,,,,,,$58.52 M,,
,,LOM,Lucapa Diamond Company Ltd,,,,,,$58.32 M,,
,,MEC,Morphic Ethical Equities Fund Ltd,,,,,,$58.25 M,,
,,PSC,Prospect Resources Ltd,,,,,,$58.12 M,,
-,,DBF,Duxton Broadacre Farms Ltd,,,,,,$57.95 M,,
-,,DEM,De.Mem Ltd,,,,,,$57.94 M,,
,,EM2,Eagle Mountain Mining Ltd,,,,,,$57.83 M,,
,,KPT,Kangaroo Island Plantation Timbers Ltd,,,,,,$57.82 M,,
,,COI,Comet Ridge Ltd,,,,,,$57.76 M,,
,,BOL,Boom Logistics Ltd,,,,,,$57.75 M,,
,,KTD,Keytone Dairy Corporation Ltd,,,,,,$57.73 M,,
,,HJPN,Betashares Japan ETF-Currency Hedged,,,,,,$57.55 M,,
-,,MRL,Mayur Resources Ltd,,,,,,$57.53 M,,
-,,REY,REY Resources Ltd,,,,,,$57.23 M,,
,,ATS,Australis Oil & Gas Ltd,,,,,,$57.19 M,,
,,SPY,SPDR S&P 500 ETF Trust,,,,,,$57.16 M,,
,,CHM,Chimeric Therapeutics Ltd,,,,,,$56.99 M,,
,,QPM,Queensland Pacific Metals Ltd,,,,,,$56.91 M,,
,,ELS,Elsight Ltd,,,,,,$56.67 M,,
,,DGR,DGR Global Ltd,,,,,,$56.58 M,,
-,,PTL,Pental Ltd,,,,,,$56.54 M,,
,,XF1,Xref Ltd,,,,,,$56.52 M,,
,,MXI,Maxitrans Industries Ltd,,,,,,$56.45 M,,
,,DXB,Dimerix Ltd,,,,,,$56.39 M,,
,,PYG,Paygroup Ltd,,,,,,$56.12 M,,
,,COO,Corum Group Ltd,,,,,,$56.1 M,,
,,KOV,Korvest Ltd,,,,,,$56.06 M,,
-,,IMC,Immuron Ltd,,,,,,$55.68 M,,
,,CHK,Cohiba Minerals Ltd,,,,,,$55.56 M,,
,,AC8,Auscann Group Holdings Ltd,,,,,,$55.48 M,,
,,IIGF,Intelligent Investor Aus Equity Growth Fund (Managed Fund),,,,,,$55.3 M,,
-,,SIH,Sihayo Gold Ltd,,,,,,$55.28 M,,
,,CLX,Cti Logistics Ltd,,,,,,$55.18 M,,
,,S2R,S2 Resources Ltd,,,,,,$55.11 M,,
,,RFT,Rectifier Technologies Ltd,,,,,,$55 M,,
,,BDM,Burgundy Diamond Mines Ltd,,,,,,$54.84 M,,
-,,JYC,Joyce Corporation Ltd,,,,,,$54.79 M,,
